Input_name	Refmet	LipidlynxX	MetaboAnalyst
SM d44:2	SM 44:2;O2	SM(44:2;O2)	NA
SM d44:3	SM 44:3;O2	SM(44:3;O2)	NA
TG 12:0_12:0_16:0	TG 12:0_12:0_16:0	TG(12:0_12:0_16:0)	TG(12:0_12:0_16:0)
TG 12:0_14:0_16:0	TG 12:0_14:0_16:0	TG(12:0_14:0_16:0)	TG(12:0_14:0_16:0)
TG 12:0_16:0_20:4	TG 12:0_16:0_20:4	TG(12:0_16:0_20:4)	TG(12:0_16:0_20:4)
TG 12:0_16:0_22:6	TG 12:0_16:0_22:6	TG(12:0_16:0_22:6)	TG(12:0_16:0_22:6)
TG 12:0_16:1_18:1	TG 12:0_16:1_18:1	TG(12:0_16:1_18:1)	TG(12:0_16:1_18:1)
TG 12:0_16:1_18:2	TG 12:0_16:1_18:2	TG(12:0_16:1_18:2)	TG(12:0_16:1_18:2)
TG 12:0_18:2_18:3	TG 12:0_18:2_18:3	TG(12:0_18:2_18:3)	TG(12:0_18:2_18:3)
TG 14:0_15:0_16:0	TG 14:0_15:0_16:0	TG(14:0_15:0_16:0)	TG(14:0_15:0_16:0)
TG 14:0_15:0_16:1	TG 14:0_15:0_16:1	TG(14:0_15:0_16:1)	TG(14:0_15:0_16:1)
TG 14:0_16:0_16:0	TG 14:0_16:0_16:0	TG(14:0_16:0_16:0)	TG(14:0_16:0_16:0)
TG 14:0_16:0_18:1	TG 14:0_16:0_18:1	TG(14:0_16:0_18:1)	TG(14:0_16:0_18:1)
TG 14:0_16:0_22:6	TG 14:0_16:0_22:6	TG(14:0_16:0_22:6)	TG(14:0_16:0_22:6)
TG 14:0_16:1_18:1	TG 14:0_16:1_18:1	TG(14:0_16:1_18:1)	TG(14:0_16:1_18:1)
TG 15:0_16:0_16:0	TG 15:0_16:0_16:0	TG(15:0_16:0_16:0)	TG(15:0_16:0_16:0)
TG 15:0_16:0_18:1	TG 15:0_16:0_18:1	TG(15:0_16:0_18:1)	TG(15:0_16:0_18:1)
TG 15:0_18:1_22:6	TG 15:0_18:1_22:6	TG(15:0_18:1_22:6)	TG(15:0_18:1_22:6)
TG 15:0_18:2_18:3	TG 15:0_18:2_18:3	TG(15:0_18:2_18:3)	TG(15:0_18:2_18:3)
TG 15:1_16:1_16:1	TG 15:1_16:1_16:1	TG(15:1_16:1_16:1)	TG(15:1_16:1_16:1)
TG 15:1_16:1_18:2	TG 15:1_16:1_18:2	TG(15:1_16:1_18:2)	TG(15:1_16:1_18:2)
TG 16:0_16:0_16:0	TG 16:0_16:0_16:0	TG(16:0_16:0_16:0)	TG(16:0_16:0_16:0)
TG 16:0_16:0_17:0	TG 16:0_16:0_17:0	TG(16:0_16:0_17:0)	TG(16:0_16:0_17:0)
TG 16:0_16:0_18:1	TG 16:0_16:0_18:1	TG(16:0_16:0_18:1)	TG(16:0_16:0_18:1)
TG 16:0_16:0_22:6	TG 16:0_16:0_22:6	TG(16:0_16:0_22:6)	TG(16:0_16:0_22:6)
TG 16:0_16:1_18:1	TG 16:0_16:1_18:1	TG(16:0_16:1_18:1)	TG(16:0_16:1_18:1)
TG 16:0_16:1_22:6	TG 16:0_16:1_22:6	TG(16:0_16:1_22:6)	TG(16:0_16:1_22:6)
TG 16:0_17:0_18:0	TG 16:0_17:0_18:0	TG(16:0_17:0_18:0)	TG(16:0_17:0_18:0)
TG 16:0_17:0_18:1	TG 16:0_17:0_18:1	TG(16:0_17:0_18:1)	TG(16:0_17:0_18:1)
TG 16:0_17:1_18:1	TG 16:0_17:1_18:1	TG(16:0_17:1_18:1)	TG(16:0_17:1_18:1)
TG 16:0_17:1_18:2	TG 16:0_17:1_18:2	TG(16:0_17:1_18:2)	TG(16:0_17:1_18:2)
