"Refmet","C1_HOMBRE","C2_HOMBRE","C3_HOMBRE","C4_HOMBRE","C5_HOMBRE","C6_HOMBRE","C1_MUJER","C2_MUJER","C3_MUJER","C4_MUJER","C5_MUJER","C6_MUJER","ET1_HOMBRE","ET2_HOMBRE","ET3_HOMBRE","ET4_HOMBRE","ET5_HOMBRE","ET6_HOMBRE","ET1_MUJER","ET2_MUJER","ET3_MUJER","ET4_MUJER","ET5_MUJER"
"Cer 18:0;O2/24:0",-0.30161858,-0.035085678,0.24459076,-0.00227356,-0.3817196,0,NA,-0.17347145,0.07183647,-0.3527336,-0.1318779,0.16199875,-0.182724,0.1471653,0.10182762,0.63571167,-0.17817116,0.59301186,NA,1.5387211,-0.38570976,0.18018532,-0.13210869
"Cer 18:1;O2/16:0",11.80526411,-0.1076355,0.264816285,7.08525861,-0.258069035,11.5154339,0.323351865,-0.392481805,-0.23874855,-0.689287185,0.29339124,0.430444715,-0.45329381,11.98606979,-0.134635925,0.535995475,12.3487003,12.1452257,0.056293485,0.9045458,-0.5469084,0.72592545,NA
"Cer 18:1;O2/18:0",-0.32896042,-0.06242752,0.21724892,-0.029615402,-0.40906143,-0.027341843,NA,-0.2008133,0.04449463,-0.38007545,-0.15921974,0.1346569,-0.21006584,0.119823456,23.22261,22.269386,21.944302,21.523802,0,NA,-0.4130516,0.15284348,-0.15945053
"Cer 18:1;O2/22:0",0.00678635,0.21151255,0.36400412,-0.12900734,-0.02025127,-0.15695572,12.85906307,12.15050528,12.21572517,11.5441334,12.516119975,NA,-0.79589461,-0.15583706,12.30947515,12.63269256,12.5516615,12.418291928,0.04706001,NA,-0.5180216,0.3086567,-0.68630025
"Cer 18:1;O2/23:0",0.249343885,-12.451042335,-12.24409855,0.18074703,0.57235717,0.14261341,0.237096785,-0.11706829,-0.05070305,-13.2208521,-12.68522458,NA,-0.89236545,-0.34128285,NA,-0.223858835,0.096463203,-0.36348535,0.316921232,-0.213108065,-0.04254818,-0.227714545,NA
"Cer 18:1;O2/24:0",NA,-13.20552906,-12.99227194,-13.235779667,NA,-13.232218927,0.539230345,-0.224503515,-0.215111731,-0.47113705,NA,0.38348962,NA,-0.020417215,-0.007447235,0.30119133,0.41872501,0.50149727,-13.25554,0.39471245,-13.515635295,NA,NA
"Cer 18:1;O2/24:1",NA,NA,0.49092484,0.12516975,0,0.13573456,-24.59022,NA,-24.732811,-25.157381,-24.936525,-24.642649,0.82899666,0.81583977,-24.70282,-24.168936,-24.982819,-24.211636,1.3498344,1.8426743,0.38324356,1.5468979,0.9182644
"Cer 18:1;O2/25:0",-0.37345505,-0.10692215,0.17275429,-0.07411003,-0.45355606,-0.07183647,23.46854,22.349438,0,-0.42457008,-0.20371437,0.09016228,-0.25456047,0.07532883,0.02999115,0.5638752,-0.25000763,0.5211754,NA,1.4668846,-0.45754623,0.10834885,-0.20394516
"Cer 18:2;O2/18:0",-0.30161858,-0.035085678,0.24459076,-0.00227356,-0.3817196,0,0.21442795,-0.17347145,0.07183647,-0.3527336,-0.1318779,0.16199875,-0.182724,0.1471653,NA,0.63571167,-0.17817116,0.59301186,0.027341843,NA,-0.38570976,0.18018532,-0.13210869
"Cer 18:2;O2/23:0",-0.06438827,NA,0.337078085,0.00485706499999999,0.298015595,0.11285114,0.7425213,-0.131251335,0.448424338,-0.05401993,12.256832125,12.504931175,-11.48969272,-11.26396102,-11.29521831,-10.67989622,-10.98344607,-10.57360455,0.5024252,NA,-0.0840683,-10.4656183,-11.4008047
"Cer 18:2;O2/24:0",0.36818219,0.88412764,0.86682606,-0.492494581,-0.393340115,-0.4662733215,0.033760068,-0.44098665,0.121970175,-0.43351364,NA,NA,0.01447773,-0.343302722,NA,1.3754358,-0.1027565,1.23679925,0.46472645,NA,-0.02532291,0.27294254,0.242069235
