"LIPID","C1_HOMBRE","C2_HOMBRE","C3_HOMBRE","C4_HOMBRE","C5_HOMBRE","C6_HOMBRE","C1_MUJER","C2_MUJER","C3_MUJER","C4_MUJER","C5_MUJER","C6_MUJER","ET1_HOMBRE","ET2_HOMBRE","ET3_HOMBRE","ET4_HOMBRE","ET5_HOMBRE","ET6_HOMBRE","ET1_MUJER","ET2_MUJER","ET3_MUJER","ET4_MUJER","ET5_MUJER"
"Stearic acid",-0.018983841,NA,0.13123131,-0.102127075,NA,-0.16199875,0.0524292,-0.16194153,0.4019909,-0.48393822,-0.005271912,0.54019547,-0.34472275,0.19639778,0.36501884,0.47371292,-0.047107697,1.0287247,-0.1346569,NA,-0.32901764,0.1706028,0.104278564
"Acar(16:0)",0.43674088,-20.717844,-0.11707497,0,-20.642406,0.057024002,0.023597717,-0.5112362,-0.9962883,0.5027447,-0.03325081,NA,0.5917797,0.59409714,0.118745804,0.45491028,0.81985855,NA,0.6767216,-20.34897,-20.772501,1.358717,-21.078878
"Acar(18:0)",-0.029571533,NA,0.13239098,0.293581,0.13383293,-0.054445267,-20.005108,-21.116058,-20.949871,-0.34459305,-0.7101383,-19.69112,0.3025856,0.2605915,NA,0.40301704,0.78964424,0.7807617,0.3902378,0.77625275,-20.853556,-19.601854,0
"AcylGlcADG 50:11",-0.7541561,-0.52677155,NA,-0.55353165,-0.6656647,-0.60310364,1.0904408,0.56869507,0.95191383,0.49300003,1.0994377,1.1678085,-0.8092766,-0.7061291,-0.48900414,-0.076654434,-0.7273464,0,0.9577675,NA,0.30479622,0.8501625,0.49287605
"Cer(35:4;O3)",-0.5160465,-0.24951363,0.030162811,-0.21670151,-0.59614754,-0.21442795,0,-0.3878994,-0.14259148,16.972761,-0.34630585,15.389932,-0.39715195,-0.06726265,-0.11260033,0.42128372,NA,0.3785839,16.733696,NA,17.261791,17.053614,16.681768
"Cer(41:0;O3)",-0.37345505,-0.10692215,0.17275429,21.547651,-0.45355606,19.416113,0.14259148,-0.24530792,0,-0.42457008,-0.20371437,NA,-0.25456047,0.07532883,0.02999115,0.5638752,-0.25000763,0.5211754,-0.04449463,NA,-0.45754623,0.10834885,-0.20394516
"Cer(42:0;O3)",-0.37345505,-0.10692215,0.17275429,-0.07411003,NA,-0.07183647,0.14259148,-0.24530792,0,-0.42457008,-0.20371437,0.09016228,-0.25456047,0.07532883,0.02999115,0.5638752,-0.25000763,0.5211754,-0.04449463,1.4668846,NA,0.10834885,-0.20394516
"Cer(42:0;O4)",-0.37345505,-0.10692215,0.17275429,-0.07411003,-0.45355606,-0.07183647,0.14259148,-0.24530792,0,-0.42457008,-0.20371437,0.09016228,-0.25456047,0.07532883,0.02999115,0.5638752,NA,0.5211754,-0.04449463,1.4668846,NA,0.10834885,-0.20394516
"Cer(42:1;O3)",-0.89463043,-0.62809753,-0.3484211,20.778852,20.787222,-0.59301186,-0.3785839,-0.7664833,21.728113,20.502405,-0.72488976,-0.4310131,20.874596,-0.44584656,21.149117,21.4871,-0.771183,0,21.49091,0.9457092,-0.9787216,21.32754,21.035456
"Cer(42:2;O3)",-0.337536815,-0.071003914,0.208672525,-0.038191795,NA,-0.035918235,0.178509715,-0.209389685,0.035918235,-0.38865184,NA,0.126080515,-0.218642235,0.111247065,0.065909385,NA,-0.214089395,0.55709363,-0.0085763935,NA,-0.421627995,0.144267085,-0.168026925
