# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : Lipidomics_MassHunterQual.IDENTIFIED_UNIDENTIFIED_COMPOUNDS.RATON_2022_Mar_29_11_16_22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Tue Mar 29 11:29:28 CEST 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MF_KO_C1: Log2(normalized),MF_KO_C2: Log2(normalized),MF_KO_C3: Log2(normalized),MF_KO_C4: Log2(normalized),MF_KO_C5: Log2(normalized),MF_KO_C6: Log2(normalized),MF_KO_ET1: Log2(normalized),MF_KO_ET2: Log2(normalized),MF_KO_ET3: Log2(normalized),MF_KO_ET4: Log2(normalized),MF_KO_ET5: Log2(normalized),MF_KO_ET6: Log2(normalized),MF_WT_C1: Log2(normalized),MF_WT_C2: Log2(normalized),MF_WT_C3: Log2(normalized),MF_WT_C4: Log2(normalized),MF_WT_C5: Log2(normalized),MF_WT_C6: Log2(normalized),MF_WT_ET1: Log2(normalized),MF_WT_ET2: Log2(normalized),MF_WT_ET3: Log2(normalized),MF_WT_ET4: Log2(normalized),MF_WT_ET5: Log2(normalized),MF_WT_ET6: Log2(normalized),MM_KO_C1: Log2(normalized),MM_KO_C2: Log2(normalized),MM_KO_C3: Log2(normalized),MM_KO_C4: Log2(normalized),MM_KO_C5: Log2(normalized),MM_KO_C6: Log2(normalized),MM_KO_ET1: Log2(normalized),MM_KO_ET2: Log2(normalized),MM_KO_ET3: Log2(normalized),MM_KO_ET4: Log2(normalized),MM_KO_ET5: Log2(normalized),MM_KO_ET6: Log2(normalized),MM_WT_C1: Log2(normalized),MM_WT_C2: Log2(normalized),MM_WT_C3: Log2(normalized),MM_WT_C4: Log2(normalized),MM_WT_C5: Log2(normalized),MM_WT_C6: Log2(normalized),MM_WT_ET1: Log2(normalized),MM_WT_ET2: Log2(normalized),MM_WT_ET3: Log2(normalized),MM_WT_ET4: Log2(normalized),MM_WT_ET5: Log2(normalized),MM_WT_ET6: Log2(normalized),Alignment Value,Annotations,CAS Number,ChEBI ID,Compound Name
TG 18:1_20:4_22:6,0.81856537,0.4794407,0.18845749,-0.2836609,-0.13082695,-0.46746445,0.9459629,-0.003578186,-0.39097977,0.7635517,-0.001861572,0.9220066,-0.6837082,22.820356,-0.04266548,21.518946,0.00186348,1.7770729,-0.4665165,0.33698845,0.48034286,22.486057,22.437504,-0.67193985,19.773848,-1.2140884,19.464607,19.715847,-0.43052483,20.934153,-0.77570915,-0.4526024,-0.88938904,-0.45607758,-0.5234299,-0.07525635,-0.5818405,21.022808,0.11241913,-0.4029503,21.755102,-0.68440247,21.310268,-0.5245018,-0.9080486,20.729467,21.046062,-1.1932411,TG 18:1_20:4_22:6,"TG 18:1_20:4_22:6 [ C63 H100 O6, tgt=72.66, overall=72.66, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 18:1_20:4_22:6
PC 38:7  RT:7.119,0.16724777,-0.15506363,-0.024101257,-0.39624405,-0.06487656,-0.37777138,1.1595192,0.42383957,0.41854477,0.5811119,0.4851818,0.60407066,-0.34592628,-0.6357708,-0.13699532,-0.3631916,-2.3158398,-0.26228523,0.2579689,-0.7645874,0.39403725,-0.12697029,-0.08974266,0.019981384,-0.77734375,-0.91347504,-0.8587208,-0.6225815,-0.33098984,-0.6338806,-1.2874832,-0.3154335,0.6214752,0.71019554,0.67469025,0.7421932,0.20307922,0.99246216,0.6761036,0.3895054,0.58707047,0.47439957,0.71509933,0.2892208,-0.15639114,0.49147415,0.5591545,-0.019981384,PC 38:7,"PC 38:7 [ C46 H78 N O8 P, tgt=88.83, overall=88.83, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,PC 38:7  RT:7.119
PC 40:5  RT:11.592,0.34045124,0.07661724,0.43898106,-0.23292828,-0.26334858,-0.6863146,0.5638876,0.03725338,-3.0187693,0.3877287,-0.008627892,0.7310591,-0.5303545,0.42054844,0.06649113,-21.401596,0.07692242,0.008627892,-0.41595364,-0.01548481,0.68096066,0.16481876,-0.30598164,-0.490283,-21.958755,-1.2639933,-1.3424578,-22.360245,-21.317383,-1.1830988,-21.662567,-21.339458,0.13310146,0.31255054,-21.410286,0.33733845,0.5562353,-1.124671,0.9112406,1.0631762,1.0207663,0.50905704,0.7797766,0.32537365,0.07224178,-21.746529,-0.41478443,-0.56169796,PC 40:5,"PC 40:5 [ C48 H86 N O8 P, tgt=99.33, overall=99.33, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,PC 40:5  RT:11.592
PC 40:5  RT:11.426,0.26819515,0.03956127,0.20968914,-0.637372,-0.36456585,-0.7723646,0.5413027,-0.002463341,-2.250411,0.14968967,0.093808174,0.45722103,-0.6962271,-0.16331768,0.1248579,0.37918377,-0.58770466,0.06111622,-0.84558773,0.11224651,0.59188557,0.069319725,-0.27990055,-0.75750256,-0.34330845,-1.2193327,-1.3866625,-0.82861423,0.19446468,-0.97378445,0.1427679,-0.54448605,-0.4397707,-0.011771202,0.6383982,0.28465366,0.091843605,-1.5182848,0.46779156,0.4298029,0.02521801,0.002463341,0.4340315,-0.06099987,-0.27998257,0.71166897,-0.3857565,-0.74950886,PC 40:5,"PC 40:5 [ C48 H86 N O8 P, tgt=97.89, overall=97.89, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,PC 40:5  RT:11.426
TG 15:0_16:0_18:1,0.002222061,0.64993477,-1.4283276,-0.4041996,-0.49454498,0.17699242,-0.53543663,-0.9020119,-1.3758087,-20.158104,-20.923517,-0.30577278,-21.605364,-20.084612,0.42918587,-21.436394,1.0842285,-19.144583,0.10751343,0.001110077,-0.740572,0.30946732,-21.38112,-21.593596,1.8598347,1.503027,1.2922192,0.9631214,1.2276478,0.51662636,0.4242649,-0.34492874,-0.5175762,-0.88303185,0.13666344,0.275671,0.92209435,-0.2714119,1.0297184,0.39500046,-0.38269615,-0.001110077,0.23820114,0.7998047,0.29974556,-0.3255558,0.003000259,-0.35778236,TG 15:0_16:0_18:1,"TG 15:0_16:0_18:1 [ C52 H98 O6, tgt=95.41, overall=95.41, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 15:0_16:0_18:1
SM d41:2,0.90151215,0.37927246,0.8150921,1.0777855,0.24388313,-0.12282181,0.68400574,0.81054115,-0.16655731,0.62311745,0.8582115,-0.076171875,-0.003351212,0.19567108,0.5937748,0.37438583,0.69373703,0.9263058,0.36382294,-0.006092072,0.61037827,-0.050468445,-0.6290226,0.003351212,-0.8381176,-0.25099754,-0.19601059,-0.36541367,0.36807823,-0.34999847,0.081422806,0.67552567,0.12387085,-0.19745827,-0.10889816,-1.1941204,-0.7067375,-0.29582787,-0.5181694,-0.19199562,-0.086502075,0.066394806,-0.4672184,-0.08226776,-0.7962284,0.45376205,0.39351845,-0.6169033,SM d41:2,"SM d41:2 [ C46 H91 N2 O6 P, tgt=85.51, overall=85.51, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,SM d41:2
SM d33:1,0.5152235,0.290761,0.0827055,0.878253,1.0184584,0.526721,0.9336691,0.4109373,0.48156834,0.6378317,0.033982277,0.264966,0.11634922,-0.088721275,-0.033982277,-0.36130238,0.12673283,0.12646961,0.3447466,0.2771349,0.21859455,-0.56691265,-0.4102564,-0.42013073,-0.45523167,-0.67106915,-0.4796152,-0.23478031,-0.2975378,0.11558056,-0.8311548,0.5720072,0.060139656,-0.19593334,0.03613949,-0.13867092,-0.09938526,0.32228374,-0.921752,-0.35690403,-0.34701824,-0.146554,-0.22308254,-0.30055714,-1.6899157,-0.13859653,0.15703297,-0.6679106,SM d33:1,"SM d33:1 [ C38 H77 N2 O6 P, tgt=93.76, overall=93.76, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,SM d33:1
SM d38:1,0.62002563,0.4370365,0.27146912,1.2094994,1.3374043,1.0370903,1.405613,0.65125465,0.486475,1.4425335,0.6369362,1.1788292,0.28010178,-1.1904583,-0.32678223,-0.5303745,-0.72934914,-1.1251259,-0.91233826,-0.27796364,-0.76724815,-1.6366634,-0.81830597,-0.42487526,-0.857357,-0.44740295,-0.5403595,-0.1803627,0.38193512,0.091602325,0.427063,1.5249825,1.6360054,1.9697685,1.8207417,1.2247162,-1.334629,0.17144012,-1.811369,-1.3754807,-0.771183,-0.091602325,-0.27452087,-0.40784645,-2.053793,-0.46663666,0.25811386,0.10572052,SM d38:1,"SM d38:1 [ C43 H87 N2 O6 P, tgt=95.72, overall=95.72, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,SM d38:1
TG 18:1_18:1_19:1,1.0258102,0.68668556,0.39570236,-0.076416016,0.07641792,-0.26021957,1.1532078,0.20366669,-0.1837349,0.9707966,0.2053833,1.1292515,-0.47646332,1.0442886,0.16457939,-0.3074932,0.20910835,1.9843178,-0.25927162,0.5442333,0.68758774,0.6892395,-0.25222015,-0.46469498,-0.86465263,21.682116,21.917625,-1.2661438,-0.22327995,21.69503,-0.5684643,18.711367,-0.68214417,-0.2488327,-0.316185,0.13198853,21.216959,-1.2462711,0.319664,-0.19570541,-0.35606766,-0.4771576,-0.3553543,22.13655,-0.70080376,-0.6524277,-0.86802673,-0.98599625,TG 18:1_18:1_19:1,"TG 18:1_18:1_19:1 [ C58 H106 O6, tgt=74.11, overall=74.11, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 18:1_18:1_19:1
TG 46:2,-0.87266254,0.015480995,-1.3937578,-0.7110872,-0.77478504,-0.6581106,-1.2999296,-1.3772001,-1.9046717,-2.0800066,-0.96768475,-0.918828,0.6399431,0.16780949,0.19516087,-0.19791317,0.685483,1.4413748,-0.55274105,-0.7684431,-0.5242834,-0.1194582,-0.084197044,-0.015480995,0.75189304,0.8016691,0.7885847,0.8807707,0.5064192,0.19155025,0.7394705,-0.71974087,-0.74833584,-1.0092268,0.29373455,0.8579397,1.3633795,-0.08397961,1.1668749,0.5479517,-0.8622618,0.017281532,0.07179737,1.0429506,1.169467,0.32183743,0.647418,-0.08829975,TG 46:2,"TG 46:2 [ C49 H90 O6, tgt=78.07, overall=78.07, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 46:2
TG 14:0_16:0_16:1,0.009583473,0.47526073,-1.196166,-0.28642368,-0.31379414,-0.2756338,-19.244255,-0.55938053,-1.4158812,-0.98803806,-0.23172855,-0.08054829,0.9584894,0.505826,0.5597925,-0.21548939,0.8312521,1.7621698,-0.46839046,0.017899513,0.46408367,0.25597858,-0.096289635,-20.86216,0.5633936,0.7590437,0.6119623,0.9391279,-20.620743,-0.009583473,0.38406086,-0.5844774,-0.6069269,-0.5660734,0.30308056,0.6561823,1.4850836,-0.2821226,1.6276808,0.61453915,-0.27398586,0.27260685,-0.12004757,-20.714722,0.86300564,0.14594936,0.31974125,-0.44421482,TG 14:0_16:0_16:1,"TG 14:0_16:0_16:1 [ C49 H92 O6, tgt=88.69, overall=88.69, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 14:0_16:0_16:1
CE 18:1,0.8720703,0.07234383,0.73187447,1.3415203,1.5085411,0.81212425,1.9414082,1.3474197,0.9204445,0.18979454,1.3485641,1.3436222,0.7554474,0.034605026,-0.4726658,-0.39489174,-0.04660797,-0.5703602,0.8763485,0.2630272,1.1722622,1.556778,-0.29314613,0.09223175,-1.664545,-1.6971626,-1.580368,-0.51244545,-1.3841286,-0.8743248,-1.0366135,1.2905293,0.35775375,-0.034605026,0.26193428,-0.06357765,-1.2239971,-0.38591003,-1.8104553,-1.2505112,-1.9465218,-0.9785309,0.57756996,-0.30160522,-1.0817013,0.37983322,-0.40878487,-22.488174,CE 18:1,"CE 18:1 [ C45 H78 O2, tgt=92.54, overall=92.54, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,CE 18:1
TG 16:0_17:0_18:1,0.1777916,1.2429523,-0.8658943,0.12591362,0.034244537,0.75977707,-19.623577,-0.15725327,-0.33901215,-19.805988,0.32050133,0.29642296,2.477232,1.627388,-20.612206,-21.084278,1.9976234,-18.792467,-21.036057,-0.93597794,0.030303955,0.94130325,1.5698814,1.4348278,0.7077389,0.7609062,0.56936455,-0.019620895,-21.000065,0.019620895,0.72984505,-0.21141815,-0.4361019,-0.5801544,0.514513,0.8628025,-21.15138,0.17755508,-20.45712,-20.97249,-21.132853,-0.6635742,-21.13214,-21.094042,-0.5428295,0.5835781,0.78429794,-21.762781,TG 16:0_17:0_18:1,"TG 16:0_17:0_18:1 [ C54 H102 O6, tgt=84.45, overall=84.45, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 16:0_17:0_18:1
PC 37:4,0.64985657,-1.3998528,0.959774,0.06084442,-1.1212482,0.4631405,-19.06714,0.36460114,1.2878017,-19.249552,-1.1693077,-1.5296669,-0.010597229,-19.17606,-2.0091076,0.26026344,0.15332222,-0.44932747,1.3078156,-1.0352345,-19.53276,-19.531109,0.16105843,0.058994293,-1.6034927,-2.2362175,0.32256126,-0.45204353,0.35430908,0.010597229,0.20697594,1.4857044,1.0990562,0.66337776,0.73916054,-0.43763924,-20.594944,0.99697876,-19.900684,0.5349331,-20.576416,-1.0218201,1.0918503,-1.463234,-3.5637283,1.1213894,-0.61413574,0.3271923,PC 37:4,"PC 37:4 [ C45 H82 N O8 P, tgt=95.27, overall=95.27, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,PC 37:4
LPC 20:0/0:0,-19.855593,-20.194717,-20.4857,-20.957819,-20.804985,-0.23898697,-19.728195,-20.677736,-0.67344856,-19.910606,-20.67602,-19.752151,-21.357866,-19.837114,-20.716824,-0.65278625,-20.672295,-18.897085,-21.140675,0.06640816,-20.193815,-20.192163,-0.8598118,-0.87294006,1.4063225,0.60214233,1.1344795,1.0229683,0.9274311,1.6006641,1.0476284,1.7989483,0.87519455,1.060051,1.6322899,1.846426,0.63510704,1.1252518,0.61200905,1.0231934,0.16429329,0.75077057,1.121151,1.2790203,-0.06640816,0.3237133,1.6110802,0.90497017,LPC 20:0/0:0,"LPC 20:0/0:0 [ C28 H58 N O7 P, tgt=92.98, overall=92.98, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,LPC 20:0/0:0
TG 60:12,0.734498,-1.0552034,0.042717934,0.36579227,0.572505,0.20523548,-0.63008595,-0.2242136,0.61205196,-20.221733,-0.9846449,0.24689579,0.12518024,1.5210848,-0.44355106,0.55040264,0.8279066,0.6048269,1.0361929,1.4553804,0.08979702,1.3343916,1.529809,0.9096842,-22.057182,-22.199371,-1.4469023,-1.8296976,-0.23480129,-0.4169588,-1.6981325,0.15989017,-0.33964062,-0.52253056,0.060156822,-0.54887486,-0.90341663,-0.27801418,-1.453351,-0.55016613,0.24960804,0.17812634,0.41544247,-0.09849644,-1.3991804,-0.7918081,-0.042717934,0.29764462,TG 60:12,"TG 60:12 [ C63 H98 O6, tgt=73.33, overall=73.33, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 60:12
TG 60:10,0.54387856,0.013854981,0.95975304,-0.027265549,0.21386719,0.36295128,0.31341934,0.7258148,0.64045143,-19.940388,0.03312111,0.31790543,-0.11936569,1.096798,-0.013854981,0.27078247,0.16572762,0.4030018,0.5443859,2.1028118,0.9400234,0.92843246,-0.018817902,-0.5094261,-1.4111958,-1.8348045,-1.3205223,-1.3170681,-1.0388699,-0.27672195,-1.1047153,-0.035848618,0.4785099,0.11381912,-0.3102913,-0.7112541,-0.7891369,0.14661026,-0.29302025,-0.07190704,0.17411041,0.11507416,0.29662514,-0.15616798,-1.5381031,-0.49749374,-0.2224369,-0.24383163,TG 60:10,"TG 60:10 [ C63 H102 O6, tgt=69.09, overall=69.09, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 60:10
PC 42:10,0.63557816,0.18458939,0.16059875,0.19283485,0.13258743,0.51823235,1.083477,-0.024194717,-0.25795364,0.48453712,0.079021454,0.44677544,-0.8606949,-1.0245609,-0.35713577,-0.56238174,-0.3182392,-0.25789642,-0.18085861,-2.2615833,0.56360054,-0.9092579,-0.95913124,-0.7694206,-0.25922966,-0.32622528,-0.2828102,-0.22907639,0.024194717,-0.349638,-0.4030018,0.60692024,-0.118219376,0.5245743,-0.06516075,0.50140953,0.5667591,1.1995068,0.17677116,0.28610802,0.40962029,0.71933365,0.42285347,0.296566,-0.7283001,0.08643532,-0.06900215,-0.81092644,PC 42:10,"PC 42:10 [ C50 H80 N O8 P, tgt=97.53, overall=97.53, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,PC 42:10
PC 42:9  RT:8.279,0.16508389,-2.60E-04,-0.102173805,0.5468149,0.55365276,1.1670408,1.4522276,0.15103436,-0.11931324,0.30938435,0.18474293,0.3400736,-0.44617748,-2.8586893,0.46090984,-0.20699215,0.34663486,-1.7106886,0.20461369,-0.5093508,0.34287357,-1.913949,-1.5937471,-0.48869038,-0.9147482,-0.5876436,-0.124215126,-0.012635231,-1.1106215,0.46778965,-1.1403551,0.029704094,0.29349422,0.5134535,-0.46322346,2.60E-04,1.0610132,0.9528227,-1.9461813,0.1731863,0.55243015,0.6831312,-0.21831799,-0.78815556,-1.2598505,0.1260271,-0.5302706,-1.8336172,PC 42:9,"PC 42:9 [ C50 H82 N O8 P, tgt=80.16, overall=80.16, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,PC 42:9  RT:8.279
TG 53:5,0.8775253,0.53840065,0.24741745,-0.22470093,-0.07186699,-0.4085045,1.0049229,0.055381775,-0.3320198,0.8225117,0.05709839,0.98096657,-0.62474823,0.8960037,0.01629448,-0.45577812,0.06082344,1.8360329,20.84735,0.3959484,0.5393028,0.5409546,-0.40050507,20.951336,21.386469,-1.1551285,21.057415,-1.4144287,20.76401,20.517956,-0.7167492,-0.39364243,-0.8304291,-0.3971176,-0.4644699,-0.016296387,-0.52288055,-1.394556,0.17137909,-0.34399033,-0.50435257,-0.6254425,21.341986,-0.46554184,-0.84908867,-0.8007126,-1.0163116,20.649515,TG 53:5,"TG 53:5 [ C56 H98 O6, tgt=69.48, overall=69.48, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 53:5
Cer_NS d18:1_24:0,-19.055513,0.20630455,-19.685621,-0.11963463,-0.034496307,0.2763996,0.38708878,0.32879257,0.4232731,-19.110527,-19.87594,-0.40099907,-0.7010441,0.25445366,-1.1867027,-0.25714493,0.63853264,0.842165,-0.5106621,-0.8238754,0.12836647,0.23611641,0.05706215,0.002813339,-0.002813339,0.3866043,0.28495216,-0.47283363,-20.304604,0.6578007,-20.649788,0.72577095,1.0384312,0.6527252,1.113987,0.18177986,-0.6353283,0.3325081,-0.024272919,-0.10617447,-0.13214111,0.38865852,-0.31529617,-0.09731102,-0.8113136,-0.2121067,0.6425247,0.28055954,Cer_NS d18:1_24:0,"Cer_NS d18:1_24:0 [ C42 H83 N O3, tgt=88.63, overall=88.63, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,Cer_NS d18:1_24:0
TG 15:0_16:1_18:2,-18.922192,-19.261316,-19.5523,-20.024418,-19.871584,-20.208221,-18.794794,-19.744335,-20.131737,-18.977205,-19.742619,-18.81875,0.43403435,-18.903713,-19.783422,0.3939762,0.8695297,-17.963684,-20.207273,-19.403769,-19.260414,0.19789886,-20.200222,0.081897736,1.7231083,1.3626881,1.4900894,0.7173786,1.6306,0.85665894,1.0758038,-0.20904541,-0.06817627,-0.94072723,0.5984001,0.71661377,0.22310448,0.29081154,1.5600929,0.84996796,-0.24495888,0.2863636,0.45209885,-20.265259,0.5012417,0.25859833,0.50175095,0.06817627,TG 15:0_16:1_18:2,"TG 15:0_16:1_18:2 [ C52 H94 O6, tgt=81.23, overall=81.23, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 15:0_16:1_18:2
TG 58:4  RT:16.367,0.6095371,1.360054,-1.6623573,0.694479,0.7499523,-0.9332657,-17.102663,-0.6095371,-18.439606,-17.285074,-1.703125,-17.12662,-18.732334,-17.211582,-18.091291,-18.563364,1.2103577,-16.271553,-18.515142,-17.711637,1.6272354,-0.7761555,0.8186035,-18.720566,2.686224,1.4478798,1.3918629,-19.522015,2.2620277,2.8797493,0.6944485,1.3081245,1.2737312,-18.504704,2.0387478,1.5601768,-18.630466,0.95738983,-17.936207,1.4658604,-18.611938,-18.733028,1.5273304,2.176094,1.3768196,-18.908298,2.402998,1.973278,TG 58:4,"TG 58:4 [ C61 H110 O6, tgt=74.46, overall=74.46, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 58:4  RT:16.367
SM d36:2,1.540556,0.8206501,0.87031364,0.9861202,1.1580639,0.41541862,1.6886253,1.0552387,1.0153122,1.289648,0.62607765,1.4561768,0.5565758,0.95152664,0.5502987,-0.46970177,0.5521641,0.15329742,0.5215874,0.3090763,0.9217396,0.053165436,0.25107765,0.16600227,-0.93671227,-2.4336147,-1.9547806,-2.1119576,-0.75774,-2.441328,-2.0581474,-21.111574,-1.6922436,-3.7485828,-1.4937096,0.020162582,-21.240812,-7.7187614,-0.5477295,-0.41166306,-21.222284,-21.343374,-21.221571,-0.5766468,-1.2373619,-0.020162582,-21.734243,-21.852213,SM d36:2,"SM d36:2 [ C41 H81 N2 O6 P, tgt=97.00, overall=97.00, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,SM d36:2
PC 36:0,2.18182,1.6420555,2.0917816,2.207079,2.3428497,2.291582,2.0035267,2.261219,2.290739,3.2465878,2.0340862,0.20069313,0.44499207,2.1202297,0.7353554,1.0775566,0.37080002,-17.19849,-0.24707031,-18.638575,0.23533249,0.51838493,0.9670563,0.04177475,-20.04746,-20.189651,-1.4221725,-0.30849648,-0.13161469,-0.7314987,-0.28622437,-19.428165,-19.864952,-19.43164,-19.498993,0.11632156,-1.8082142,-0.04177475,-18.863144,-0.40413284,0.3674755,-0.19439125,0.3426075,-1.3468704,-1.439928,-0.5848713,-0.17758751,-1.2594223,PC 36:0,"PC 36:0 [ C44 H88 N O8 P, tgt=78.60, overall=78.60, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,PC 36:0
SM d32:1,0.72835636,0.13192081,0.17974377,0.7222223,0.76692677,0.43631268,1.1383238,0.32189846,0.5462904,0.6936064,0.21707058,0.6327696,1.8943605,0.25971508,0.2163496,-0.17317295,0.111447334,0.42588902,0.2530527,0.40834904,0.6220808,-0.44645596,-0.208354,-0.29739666,-0.9514227,-1.0303354,-0.9733629,-0.47391987,-0.75401974,-0.5260725,-0.76172924,0.18176556,-0.07727909,0.108428,-0.025561333,-0.22778225,-0.21329403,0.16021061,-0.7842226,-0.39020061,-0.27855206,0.025561333,-0.24805164,-0.43018055,-1.3960066,-0.16792011,-0.048081398,-0.7995844,SM d32:1,"SM d32:1 [ C37 H75 N2 O6 P, tgt=92.49, overall=92.49, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,SM d32:1
TG 58:4  RT:16.526,-19.046038,-0.03543091,-3.747488,-0.94129753,-1.0902958,-0.93388176,-0.7488079,-19.868181,-2.987873,-3.1411629,-2.5655575,-1.9349995,-0.88702965,-19.02756,-1.1973495,-0.41539764,0.6163101,-0.7965126,0.7885399,0.72138214,-19.38426,-0.10584068,0.4949131,-0.26225471,1.6985321,0.8601055,1.2274399,1.8794518,0.65984154,1.52005,-1.8149128,-0.8162098,-0.32015228,0.41327095,0.26244926,0.41921234,0.43378067,0.8228111,0.1688137,0.88718224,0.03543091,0.5240364,-0.30064774,1.7966785,0.6634731,1.2575607,1.2580624,1.0062885,TG 58:4,"TG 58:4 [ C61 H110 O6, tgt=75.47, overall=75.47, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 58:4  RT:16.526
TG 47:2,0.29554176,0.5642071,-0.614172,-0.25531197,-0.2659893,-0.2791443,-0.0809021,-1.137743,-19.333725,0.20174026,-0.6473274,0.65351105,0.4544468,0.896286,-0.3691883,0.01559639,0.49967003,1.8124046,-0.77923775,0.30472946,-0.08973694,-0.020328522,-1.5386047,-0.30100822,1.1406116,0.7462616,0.6618633,0.37047577,1.0062962,-0.15811157,0.428154,0.004924774,-0.8395691,-0.3233528,0.1927681,0.34008408,1.0668869,-0.19741821,2.3118134,0.38212967,-0.3856125,-0.004924774,-0.20379066,0.62166595,0.14224434,-0.22134209,-0.042427063,-0.7793064,TG 47:2,"TG 47:2 [ C50 H92 O6, tgt=83.42, overall=83.42, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 47:2
TG 15:0_16:0_16:1,0.37484074,0.6269846,-0.6507063,-0.2640257,-0.24538898,-0.15498447,-18.019367,-1.1160059,-19.356308,-18.201778,-0.10861683,-0.37922955,-19.649036,0.92021465,0.3741331,-0.03981304,0.45031643,2.0327406,-0.51783085,0.3748865,0.66309834,0.26840496,-0.5185671,-19.637268,1.0373697,0.9817476,0.69377804,0.576993,0.5985079,-0.02834034,-19.74104,0.37484264,-0.40135098,-0.074679375,0.25222492,0.24971676,1.39153,-0.3378725,2.6015196,0.34167194,-0.25875187,0.5031061,0.02834034,0.4798193,0.15512943,-0.5605364,-0.29462528,-0.8155432,TG 15:0_16:0_16:1,"TG 15:0_16:0_16:1 [ C50 H94 O6, tgt=91.99, overall=91.99, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 15:0_16:0_16:1
TG 14:1_16:1_18:2,1.2729053,0.93378067,0.64279747,0.17067909,0.32351303,-0.013124466,1.4003029,0.4507618,0.063360214,1.2178917,0.4524784,1.3763466,-0.22936821,1.2913837,0.4116745,-0.0603981,0.45620346,2.231413,-0.012176514,0.79132843,0.93468285,0.9363346,-0.005125046,-0.21759987,-0.6175575,-0.75974846,21.07374,-1.0190487,0.023815155,-0.91243935,-0.32136917,0.001737595,-0.43504906,-0.001737595,-0.06908989,0.37908363,-0.12750053,-0.999176,0.5667591,0.051389694,-0.10897255,-0.23006248,-0.1082592,-0.07016182,-0.45370865,-0.40533257,-0.6209316,-0.73890114,TG 14:1_16:1_18:2,"TG 14:1_16:1_18:2 [ C51 H90 O6, tgt=78.14, overall=78.14, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]",,,TG 14:1_16:1_18:2
