"Lipid","MF_KO_ET1","MF_KO_ET2","MF_KO_ET3","MF_KO_ET4","MF_KO_ET5","MF_KO_ET6","MM_KO_ET1","MM_KO_ET2","MM_KO_ET3","MM_KO_ET4","MM_KO_ET5","MM_KO_ET6","MF_WT_ET1","MF_WT_ET2","MF_WT_ET3","MF_WT_ET4","MF_WT_ET5","MF_WT_ET6","MM_WT_ET1","MM_WT_ET2","MM_WT_ET3","MM_WT_ET4","MM_WT_ET5","MM_WT_ET6","MF_KO_C1","MF_KO_C2","MF_KO_C3","MF_KO_C4","MF_KO_C5","MF_KO_C6","MM_KO_C1","MM_KO_C2","MM_KO_C3","MM_KO_C4","MM_KO_C5","MM_KO_C6","MF_WT_C1","MF_WT_C2","MF_WT_C3","MF_WT_C4","MF_WT_C5","MF_WT_C6","MM_WT_C1","MM_WT_C2","MM_WT_C3","MM_WT_C4","MM_WT_C5","MM_WT_C6"
"Cer(18:1;O2_23:0)",0.694986325,0.270273205,0.64581682,NA,0.25898933,0.54594898,-9.578586485,NA,-1.26604175,-9.7535469,-0.394782065,-9.177019885,-0.0672531145,-0.2168684,0.284654615,NA,0.16600609,0.337549215,NA,-0.31177521,-0.395366668,-0.250485425,-0.00681399999999999,0.1639423395,0.515008915,0.394180295,0.394871705,0.28068733,NA,0.33683491,-0.614069925,-0.062890051,10.18227375,-0.079231265,NA,10.4578877,-0.394369125,0.106888772,0.2354393,-0.2921381,0.28261186,NA,NA,NA,-9.2009335,-9.3547047,-9.457694275,0.05249595
"Cer(18:1;O2_24:0)",0.341031075,-10.188185715,0.5917616,-20.1386965,-9.5984257,0.025901795,NA,NA,0.41577627,0.334760656,0.44209005,0.027814865,-10.78430455,-10.9107152,0.055785179,0.107824326,0.198741915,0.3851671195,-0.339105605,0.012758255,NA,-0.02924442,0.86609935,0.89425467,-9.5077674865,NA,-9.49260985,0.456540085,0.3635730765,0.60357285,0.6000471305,0.96335985,1.00242613,0.714659685,NA,-9.82850815,-0.70631885,-0.28226185,-0.88966273,-0.310507775,0.29787922,NA,0.011038775,0.30444909,-0.4797372795,NA,-0.488732335,0.207480429
"Cer(18:1;O2_24:1)",-20.800362,0.5625019,0.6824188,-21.27986,0.7876072,0.6249428,0.7866955,1.7508755,-22.43807,0.29480553,-0.5595608,-21.531755,-21.17094,-0.030342102,0.24355698,0.3110752,0.3829975,-20.907976,0.19617653,-20.824608,-21.260786,0.74544525,1.0789165,-21.143055,0.18697548,-20.841349,-20.91486,-20.842987,-21.718084,1.006136,0.3014412,0.86800957,1.1819248,1.0127621,0.6152706,1.1941185,-0.424963,-0.66862106,-21.44274,-21.433762,0.13370895,-0.32527924,-22.168535,0.5178509,-0.82219887,-21.559431,0.030342102,-21.722404
"Cer(34:1;O2)",0.4467678,0.32427597,0.8062782,0.6557026,NA,0.6753502,0.34825325,-18.894703,-0.44693375,-0.019390106,-18.989077,-18.872528,1.1014957,0.5747547,NA,0.15030861,0.5113487,0.7420273,-0.103868484,-0.21681404,0.019390106,0.34179497,0.7603092,NA,0.22416496,NA,0.5668545,1.6691875,1.5743504,1.6117344,-18.691643,-18.554981,-18.723078,-18.838413,NA,-17.768583,-0.676239,-18.389408,-0.055570602,-0.18336296,0.020174026,-17.641312,0.7547741,0.25336456,-19.10803,-18.900204,-0.073171616,0.48333168
"Cer(35:4;O3)",1.4648328,1.4412589,1.6287694,NA,1.0662332,1.7853961,1.3360629,0.90650606,0.503942,0.55481863,1.7792954,1.9020867,-13.767269,-13.706877,-0.5998311,0.37911844,-0.43520594,-0.121005535,-14.171774,-13.420937,0.7450633,-13.86261,-14.087486,-0.05321169,2.038074,1.2219834,1.5889812,0.8776736,NA,1.1619611,1.670527,2.2285314,2.2383962,NA,NA,2.0574698,-14.429968,-13.644964,-14.039068,-14.03009,NA,-12.896868,-1.4062133,-1.1186385,0.05321169,NA,-0.26980639,-1.0099664
"Cer(36:1;O2)",0.47270775,0.4549122,NA,-0.006790161,-0.2770176,0.61074066,-0.36136627,-0.2808609,-1.1650009,-1.0309181,-0.3752346,-0.25868607,17.71249,0.16252136,0.45358276,18.456793,18.818647,18.510702,-0.3023758,0.44846153,0.012283325,0.006788254,-0.21808815,0.13001442,18.651192,0.43172073,18.891947,19.067196,18.772457,0.4082203,-0.07780075,0.05886078,-0.10923576,-0.22457123,-0.3588295,NA,-0.56056976,0.2244339,-0.1696701,-0.16069221,-0.12507248,NA,-0.89546585,-1.0352039,-0.4941883,-0.2863617,-0.33197784,-0.4493351
"Cer(40:0;O3)",0.9627247,NA,0.8299217,-1.6246891,-0.5200405,0.4043808,0.4942875,1.4031296,-0.2655487,0.006067276,-1.4674225,-1.2314739,NA,-0.44885826,0.88137627,0.003322601,0.19416237,0.20541573,0.112514496,NA,0.12667084,-0.022951126,0.35355568,NA,0.35637093,-0.003322601,-0.71523285,0.9459152,-1.8030758,0.81869316,1.3561974,1.430418,NA,0.95303535,1.1466465,1.1770267,-0.955328,-19.515686,-0.9370556,-0.75613976,-0.7460842,-18.76759,-1.1276493,-0.014547348,-20.234308,-20.026482,-0.07904816,0.12351227
"Cer(40:1;O2)",-0.7125969,-19.990084,-0.882452,0.19276428,-0.36322975,-19.834255,1.3643074,NA,0.68865204,0.8188,0.28717613,0.4280777,-0.8327484,-20.282475,-1.0891018,-1.0952892,-0.68144417,-20.079903,0.09094429,0.8954525,0.37494278,0.50440216,1.5977421,2.1270294,-0.7691536,-0.97698593,0.04500389,0.05349922,-0.14284325,-0.022035599,1.2974968,1.8180008,2.1458664,1.8956776,NA,2.3536606,0.5015602,-20.220562,-1.3326836,-20.605688,-0.762331,-19.472466,-0.08176422,1.3471966,0.022035599,-0.42827797,0.31204796,1.1678715
"Cer(41:0;O2)",-15.40296,-15.420755,-15.608759,-15.882458,-16.152685,-15.264927,-16.237034,NA,-17.040668,-16.906586,-16.250902,-16.134354,-15.773539,0.2550702,1.6361394,-15.040382,1.5146585,1.8158994,1.0488019,-15.427206,1.724196,-15.868879,-16.093756,-15.745653,0.08897543,1.5441937,1.6551251,2.2822423,0.66794634,NA,2.8426576,2.9935994,2.4249692,3.1879869,2.3336663,NA,NA,0.49227,0.65144014,0.81682825,0.88511133,0.95906496,-16.771133,0.9829583,0.1390214,-0.08897543,-16.207645,-16.325003
"Cer(41:0;O3)",1.3103542,0.29901886,1.399229,NA,-0.43180656,0.92741394,0.598547,NA,-0.021755219,0.24275208,-1.7414474,-1.7797489,0.19556046,0.09325218,1.0627365,0.5905857,0.3639164,0.55335045,-0.01818657,NA,-0.17490578,-0.036035538,0.30056953,0.21991158,0.38501167,-0.15382767,-0.38125038,1.0011158,-1.308403,1.140089,1.4597416,1.9268188,0.5139332,1.0980892,1.2092133,NA,-1.2881298,-0.05807686,0.003000259,-0.003000259,-0.14259338,NA,NA,-0.030096054,-0.20830345,-0.40906334,-0.059129715,0.17986107
"Cer(41:1;O2)",0.47528648,0.9023266,0.89923286,0.6126251,0.73034286,0.49112892,0.46037102,NA,-0.55683136,-0.27916336,-0.9221611,-0.250309,0.23826218,-19.76627,-0.20168114,-19.093506,0.09463501,0.6158428,-20.231167,-19.48033,-0.0633831,0.2274208,0.8142681,1.1865234,0.3328743,0.21390915,0.79271317,1.0813618,0.6225815,0.9573612,0.8967018,1.2084694,-20.038027,1.2684803,-20.28762,-19.083532,-0.4489746,-19.704357,-0.41697502,-0.38158226,-0.27772903,-18.95626,-20.824257,0.28689766,-1.2313099,-20.215153,-0.51065254,0.0633831
"Cer(42:0;O2)",NA,-16.650211,-16.838215,-17.111916,-17.382141,-16.494385,1.0075998,3.4675913,-18.270126,-18.136044,-17.480358,0.10758686,0.9985323,NA,0.69840527,0.35101032,0.62136745,0.9345751,0.50941753,-16.656662,1.1249971,-17.098335,-17.323212,-16.97511,0.9381952,0.6331034,0.88891697,1.5683413,0.87045383,1.4193182,2.2469816,1.8487673,-17.21436,2.5710077,2.0356283,-16.259865,0.24187183,-0.37255383,-17.274796,-0.08502293,-17.230198,0.08502293,NA,NA,-17.599312,-17.391487,-17.437103,-17.554459
"Cer(42:0;O3)",0.26166153,-0.3263111,-0.11648941,-0.3891735,0.09100342,NA,0.043563843,NA,-0.40830994,-0.32457542,-0.18728065,-0.051469803,0.90125275,-0.8706913,1.3998947,-0.3961296,-0.13959122,0.53824806,0.7732582,0.81767845,0.94199944,NA,1.2722626,1.0648117,-0.04998398,-0.012783051,-0.012783051,0.85411453,-0.47631073,0.7180042,1.7270355,2.1499271,1.3114223,1.9753246,1.7485828,1.2828808,0.012783051,-18.560806,-18.95491,-0.3025875,-18.910313,-17.81271,-0.49749947,0.8712883,-0.70207024,-0.9175396,NA,0.5595627
